,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,distance_to_nearest_stn
0,Manhattan,Washington Heights,40.85722,-73.9379,Private room,100,1,1,1,365,0.372053679177349
1,Manhattan,Midtown,40.75362,-73.98376999999999,Entire home/apt,225,3,48,2,335,0.09498313646354004
3,Manhattan,Murray Hill,40.74767,-73.975,Entire home/apt,200,3,78,1,0,0.42680824864363154
6,Manhattan,Hell's Kitchen,40.76489,-73.98493,Private room,79,2,473,1,294,0.28456794656674733
7,Manhattan,Upper West Side,40.80178,-73.96723,Private room,79,2,118,1,0,0.24500760308845504
8,Manhattan,Chinatown,40.713440000000006,-73.99037,Entire home/apt,150,1,161,4,340,0.034780498534233095
9,Manhattan,Hell's Kitchen,40.7616,-73.98893000000001,Private room,99,2,213,1,0,0.266295729093134
10,Manhattan,West Village,40.73552,-74.01042,Entire home/apt,160,3,66,1,148,0.6761301034978345
12,Manhattan,Upper West Side,40.79826,-73.96113000000001,Private room,85,2,123,1,1,0.2423041133202668
13,Manhattan,West Village,40.7353,-74.00525,Entire home/apt,120,30,27,1,311,0.28757248590931817
15,Manhattan,East Harlem,40.78962,-73.94802,Private room,65,30,233,1,365,0.11805245352824302
17,Manhattan,East Harlem,40.79685,-73.94872,Private room,35,14,0,2,179,0.35997469252125774
20,Manhattan,Inwood,40.867540000000005,-73.92639,Private room,80,4,0,1,0,0.23935903001229666
21,Manhattan,East Village,40.7292,-73.98541999999999,Entire home/apt,175,3,33,1,90,0.3748501034188545
22,Manhattan,Harlem,40.82245,-73.95104,Private room,50,3,261,2,335,0.22772786323871494
23,Manhattan,Harlem,40.81305,-73.95466,Private room,52,2,98,1,354,0.29099662670751375
24,Manhattan,Harlem,40.8213,-73.95318,Private room,50,3,288,2,365,0.08906489285150077
29,Manhattan,Lower East Side,40.714009999999995,-73.98917,Shared room,40,1,219,4,339,0.09086244051420626
30,Manhattan,East Village,40.7229,-73.98199,Private room,59,2,262,2,90,0.6738066491428699
31,Manhattan,Harlem,40.81175,-73.94478000000001,Entire home/apt,150,7,107,1,356,0.4361839356850414
37,Manhattan,Chelsea,40.74395,-73.99450999999999,Private room,150,2,69,3,365,0.09796162677613258
41,Manhattan,Kips Bay,40.73961,-73.98074,Entire home/apt,200,7,20,1,358,0.4860315863826694
43,Manhattan,Lower East Side,40.720040000000004,-73.99104,Private room,110,5,19,1,365,0.24436653362829075
44,Manhattan,Hell's Kitchen,40.755309999999994,-73.99293,Private room,69,2,324,2,346,0.3379513610991791
45,Manhattan,Nolita,40.722970000000004,-73.99684,Entire home/apt,180,7,25,1,90,0.07852348158177594
47,Manhattan,Chelsea,40.74623,-73.9953,Entire home/apt,400,14,5,1,146,0.19665157182671775
48,Manhattan,Upper East Side,40.77065,-73.95269,Entire home/apt,200,1,82,2,296,0.525937950187216
50,Manhattan,East Village,40.7236,-73.98465999999999,Entire home/apt,130,3,58,1,88,0.44645780721069667
53,Manhattan,Hell's Kitchen,40.75979,-73.99119,Private room,55,30,195,1,299,0.30176789902609613
55,Manhattan,East Village,40.726490000000005,-73.97904,Private room,80,1,399,2,173,0.5416913304798848
57,Manhattan,East Village,40.72298,-73.98474,Private room,99,1,117,1,365,0.4416524784836517
58,Manhattan,East Harlem,40.80164,-73.93921999999999,Entire home/apt,225,4,212,1,239,0.3094822169151156
59,Manhattan,East Village,40.72162,-73.98008,Entire home/apt,250,5,53,1,177,0.721859008538735
60,Manhattan,Hell's Kitchen,40.76342,-73.98865,Private room,51,20,29,1,127,0.24926453588882092
61,Manhattan,Washington Heights,40.83139,-73.94095,Private room,65,2,60,2,343,0.10789095540890445
63,Manhattan,East Village,40.72828,-73.98801,Entire home/apt,170,5,21,1,351,0.32501350211710867
67,Manhattan,Chelsea,40.74138,-74.00197,Private room,150,4,184,1,295,0.05902581555171425
69,Manhattan,Harlem,40.82915,-73.95136,Entire home/apt,110,31,56,1,312,0.300694728303172
70,Manhattan,Lower East Side,40.718509999999995,-73.98892,Entire home/apt,285,33,77,1,358,0.06901801552137217
73,Manhattan,East Village,40.72912,-73.98057,Private room,50,1,2,1,0,0.22231016596324607
80,Manhattan,Upper West Side,40.79764,-73.96177,Entire home/apt,140,30,82,1,291,0.17396163187004732
81,Manhattan,Harlem,40.82803,-73.94731,Private room,89,1,3,1,365,0.30523683773582644
82,Manhattan,Chelsea,40.74008,-74.00271,Private room,85,7,36,2,364,0.0354469179219702
85,Manhattan,Harlem,40.82748,-73.95069000000001,Entire home/apt,200,28,219,2,338,0.1068556089973581
86,Manhattan,West Village,40.730959999999996,-74.00319,Entire home/apt,500,5,49,2,269,0.2743108339963417
91,Manhattan,Harlem,40.8104,-73.94309,Private room,100,2,190,1,364,0.3571008403789707
94,Manhattan,Hell's Kitchen,40.75527,-73.99291,Private room,59,2,374,2,359,0.33374070588248633
96,Manhattan,East Village,40.7288,-73.98192,Entire home/apt,140,7,12,1,66,0.24035697628001965
98,Manhattan,East Village,40.7254,-73.98156999999999,Entire home/apt,350,2,9,4,359,0.6166726613008714
100,Manhattan,Upper West Side,40.77823,-73.97636999999999,Entire home/apt,235,6,28,1,0,0.29274621636108983
101,Manhattan,Chelsea,40.74968,-74.00052,Entire home/apt,150,1,435,1,362,0.468484111163136
102,Manhattan,East Village,40.72555,-73.97965,Entire home/apt,225,1,124,4,359,0.6228305051721855
104,Manhattan,Harlem,40.82754,-73.94919,Entire home/apt,170,2,209,1,356,0.1476588002619957
106,Manhattan,Upper West Side,40.778420000000004,-73.97556,Entire home/apt,170,7,20,1,202,0.3219249923374624
107,Manhattan,East Village,40.72245,-73.98527,Entire home/apt,100,4,25,1,0,0.408306715017115
109,Manhattan,Upper East Side,40.778,-73.94821999999999,Entire home/apt,150,5,21,1,160,0.30135833264396233
111,Manhattan,Harlem,40.816179999999996,-73.94894000000001,Entire home/apt,66,7,166,4,331,0.2193003578898025
113,Manhattan,East Village,40.72392,-73.99143000000001,Entire home/apt,185,3,100,1,1,0.13855738521302358
115,Manhattan,Hell's Kitchen,40.767540000000004,-73.98399,Private room,130,1,66,3,351,0.19090161575992073
116,Manhattan,West Village,40.73442,-74.00303000000001,Entire home/apt,115,29,28,1,1,0.11132056554767915
122,Manhattan,East Village,40.72895,-73.98376999999999,Entire home/apt,160,14,3,1,363,0.2867379359205269
127,Manhattan,East Village,40.72354,-73.98295,Entire home/apt,195,1,34,1,274,0.5905858828695525
128,Manhattan,Upper West Side,40.78849,-73.96883000000001,Entire home/apt,109,10,19,1,362,0.2912630328447866
129,Manhattan,West Village,40.73474,-74.00101,Private room,156,4,85,1,364,0.2169632427017328
132,Manhattan,East Harlem,40.79295,-73.93997,Private room,59,3,34,1,237,0.4281586500755353
133,Manhattan,West Village,40.73226,-74.00401,Entire home/apt,200,45,136,1,362,0.15921138600279303
135,Manhattan,Chelsea,40.75295,-73.99801,Entire home/apt,150,10,25,1,0,0.39695738391811125
136,Manhattan,East Village,40.72125,-73.98177,Entire home/apt,162,2,64,1,80,0.5792110208457667
137,Manhattan,Upper East Side,40.77711,-73.9527,Entire home/apt,219,4,133,2,348,0.11602724041289442
139,Manhattan,Upper East Side,40.77456,-73.95323,Entire home/apt,99,1,261,2,231,0.3894481916036416
141,Manhattan,Hell's Kitchen,40.76233,-73.98854,Private room,119,3,44,2,190,0.21627305352611753
142,Manhattan,Upper West Side,40.77953,-73.98829,Private room,150,1,181,2,365,0.5467481151705716
145,Manhattan,Upper East Side,40.76123,-73.9642,Entire home/apt,250,3,4,1,365,0.30313267337372196
146,Manhattan,Harlem,40.827040000000004,-73.94906999999999,Entire home/apt,80,3,2,1,0,0.121615188143942
147,Manhattan,Lower East Side,40.71824,-73.99315,Entire home/apt,450,5,57,1,303,0.05103708525357971
151,Manhattan,Tribeca,40.71915,-74.01017,Entire home/apt,275,3,11,1,173,0.2780955630690133
154,Manhattan,East Village,40.72518,-73.98034,Private room,125,1,96,4,365,0.6502524324828138
156,Manhattan,West Village,40.737559999999995,-74.00405,Entire home/apt,100,3,89,1,359,0.27581025026501205
157,Manhattan,NoHo,40.72825,-73.99286,Entire home/apt,385,5,26,1,257,0.2315828240063954
158,Manhattan,Harlem,40.815259999999995,-73.94791,Entire home/apt,165,7,97,4,230,0.29333432814644045
159,Manhattan,West Village,40.73423,-74.0046,Entire home/apt,150,26,38,1,357,0.16890147394354413
160,Manhattan,Harlem,40.82374,-73.9373,Entire home/apt,100,2,18,1,0,0.07172313281077544
163,Manhattan,Morningside Heights,40.8063,-73.95985,Private room,99,4,129,1,365,0.3926163514367152
167,Manhattan,Upper East Side,40.76834,-73.95334,Private room,90,3,220,1,365,0.43225178348741417
168,Manhattan,Upper East Side,40.77041,-73.95997,Entire home/apt,215,1,0,1,350,0.2214547238582877
170,Manhattan,Chelsea,40.74031,-73.99999,Entire home/apt,125,3,3,1,0,0.15750965033668873
171,Manhattan,Lower East Side,40.71882,-73.98852,Entire home/apt,149,30,116,1,49,0.04141747187402393
173,Manhattan,Upper East Side,40.77333,-73.95199000000001,Private room,130,14,0,2,0,0.5067869376468711
175,Manhattan,Hell's Kitchen,40.762440000000005,-73.99271,Entire home/apt,195,5,10,1,0,0.5679228887430647
181,Manhattan,Hell's Kitchen,40.76548,-73.98474,Shared room,105,6,10,1,364,0.3518568221959834
182,Manhattan,Harlem,40.80234,-73.95603,Private room,200,30,0,1,365,0.2637167880912245
184,Manhattan,Harlem,40.81035,-73.94598,Entire home/apt,160,1,122,5,362,0.2911764587881447
187,Manhattan,East Harlem,40.79958,-73.94275,Private room,100,5,228,1,303,0.14246125996308073
191,Manhattan,Harlem,40.81219,-73.94499,Private room,75,1,207,5,338,0.42195203729494735
194,Manhattan,East Village,40.72821,-73.98701,Entire home/apt,189,3,205,1,0,0.39946204637477356
195,Manhattan,Hell's Kitchen,40.7672,-73.98508000000001,Entire home/apt,250,3,107,1,6,0.2903358222879702
196,Manhattan,East Village,40.73012,-73.99053,Entire home/apt,239,4,7,1,362,0.04620285854249734
197,Manhattan,Flatiron District,40.7403,-73.98498000000001,Entire home/apt,195,2,119,1,313,0.14506689615009813
198,Manhattan,Harlem,40.809309999999996,-73.94343,Entire home/apt,155,3,252,2,292,0.24539298931015294
199,Manhattan,Upper West Side,40.79696,-73.97046999999999,Private room,70,60,9,1,365,0.32764876052119574
200,Manhattan,Harlem,40.8251,-73.94287,Private room,60,1,512,2,329,0.11887696171380735
202,Manhattan,Roosevelt Island,40.76193,-73.9501,Private room,120,7,22,1,204,1.0372152740252407
203,Manhattan,Lower East Side,40.72052,-73.98589,Entire home/apt,150,3,57,1,235,0.2775640711012499
205,Manhattan,Chinatown,40.71756,-73.99503,Entire home/apt,200,3,21,2,318,0.13343861534683277
206,Manhattan,Midtown,40.7589,-73.96991,Entire home/apt,250,30,82,1,159,0.16619545030218547
207,Manhattan,SoHo,40.72003,-74.00262,Entire home/apt,500,4,106,1,257,0.09064888146760657
208,Manhattan,Harlem,40.804809999999996,-73.94776999999999,Private room,150,3,2,1,365,0.3394183698277253
209,Manhattan,Greenwich Village,40.73194,-73.99474000000001,Entire home/apt,225,5,12,1,0,0.25267776456066343
